HouseID,Description,City/Province,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude,Property Type,Storeys,Project
27,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",26393000.0,3,3,219.3,91.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
28,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model",General Trias,"Pasong Camachile I, General Trias",2389000.0,3,1,50.0,50.0,14.3723207,120.8976745,Townhouse,0,Lancaster New City
29,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Greta 246sqm",Subic,"Aningway Sacatihan, Subic",12772000.0,5,3,166.0,246.0,14.9131781,120.2282421,House and Lot,2,Camella Subic
30,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna",Calamba,"Palo-Alto, Calamba",3500000.0,0,0,,104.0,14.1839549,121.1072903,House and Lot,0,"Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna"
31,"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta",Cainta,"Santo Domingo, Cainta",9500000.0,4,3,144.0,136.0,14.5823408,121.1180438,Townhouse,2,"Village East Executive Subdivision, Cainta"
32,"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan",Santa Maria,"San Vicente, Santa Maria",4400000.0,3,2,63.2,80.0,14.8077154,121.0024016,House and Lot,0,
33,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000.0,5,3,100.0,110.0,15.4777848,120.6140745,House and Lot,2,Camella Tarlac
34,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan",Abucay,"Gabon, Abucay",,3,2,67.0,88.0,14.7178136,120.531325,Single Detached,1,
35,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,Zamboanga,"Zambowood Rd. Boalan, Zamboanga",3275000.0,2,1,40.3,78.4,6.9483885,122.1148889,Townhouse,0,Futura Homes Zamboanga
36,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest",Tanza,"Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3167300.0,0,0,39.6,100.0,14.3631351,120.8207756,House and Lot,0,Futura by Filinvest
37,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)",Santa Maria,"Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000.0,2,2,52.0,40.0,14.8279751,121.0003891,Townhouse,2,"Marytown Place Ph2 in Santa Maria, Bulacan"
38,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm",Subic,"Aningway Sacatihan, Subic",8428000.0,5,3,142.0,121.0,14.9131781,120.2282421,House and Lot,2,Camella Subic
39,2-Bedroom House and Lot For Sale in Camella Pili,Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000.0,2,1,46.0,63.0,13.5979899,123.2430657,House and Lot,0,Camella Pili
40,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",28650000.0,3,3,219.3,90.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
41,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model",Mexico,"Km.71, North Luzon Expressway Panipuan, Mexico",3500000.0,3,2,102.4,154.0,15.0941848,120.6701583,Other,0,The Lakeshore
42,"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model",Davao,"Tugbok, Davao",5300000.0,3,2,70.3,67.0,7.1035383,125.4948467,Townhouse,2,PHINMA Maayo Tugbok
43,"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",San Rafael,"Caingin, San Rafael",1800000.0,2,1,46.0,41.0,14.9717467,120.9434431,Townhouse,0,Primeworld Enclave
44,"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm",Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000.0,4,3,85.0,99.0,15.4710779,120.9821312,House and Lot,2,Camella Nueva Ecija
45,Luxury 2 Storey Residential House  Sun Valley Parañaque City,Paranaque,"Sun Valley, Paranaque",45001005.0,6,5,337.0,350.0,14.4888415,121.0325173,Residential House,0,Sun Valley Parañaque City
46,3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,Pavia,"Ungka Ii, Pavia",4080345.0,3,2,52.0,80.0,10.7529006,122.5376029,House and Lot,0,Regency Residences
47,"4-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ADELLE Model",Imus,"Alapan Ii-A, Imus",3336800.0,4,2,70.0,60.0,14.4084522,120.8964956,Townhouse,0,Lancaster New City
48,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm",Subic,"Aningway Sacatihan, Subic",10082000.0,5,3,142.0,176.0,14.9131781,120.2282421,House and Lot,2,Camella Subic
49,"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",San Rafael,"Caingin, San Rafael",1800000.0,2,1,46.0,41.0,14.9717467,120.9434431,Townhouse,2,Primeworld Enclave
50,"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119",Lipa,"Bugtong Na Pulo, Lipa",7500000.0,4,3,119.0,150.0,13.9984308,121.1674592,Single Detached,1,"The Villages at Lipa - Sierra Village, SD119"
51,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model",General Trias,"Pasong Camachile I, General Trias",2292960.0,3,1,40.0,40.0,14.3723207,120.8976745,Townhouse,0,Lancaster New City
52,For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000.0,2,2,53.0,88.0,15.4777848,120.6140745,House and Lot,2,Camella Tarlac
53,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,Tarlac,"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000.0,5,3,166.0,176.0,15.4777848,120.6140745,House and Lot,2,Camella Tarlac
54,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence",Tanza,"Antero Soriano Highway Sahud Ulan, Tanza",2258057.0,3,1,45.0,62.0,14.366749,120.8184475,Townhouse,0,Micara Estates
55,"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY",Mabalacat,"Sapang Biabas, Mabalacat",1400000.0,2,1,40.0,40.0,15.1987752,120.6026101,Townhouse,2,Talanai Homes
56,"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model",Davao,"Tugbok, Davao",5300000.0,3,2,70.3,67.0,7.1035383,125.4948467,Townhouse,0,PHINMA Maayo Tugbok
57,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",26393000.0,3,3,219.3,91.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
58,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,Muntinlupa,"Cupang, Muntinlupa",32342000.0,3,3,247.4,93.0,14.4378843,121.0503212,Townhouse,3,Likha Residences
59,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model",General Trias,"Pasong Camachile I, General Trias",2389000.0,3,1,50.0,50.0,14.3723207,120.8976745,Townhouse,0,Lancaster New City
60,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna",Calamba,"Palo-Alto, Calamba",3500000.0,0,0,,104.0,14.1839549,121.1072903,House and Lot,0,"Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna"
61,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna",Calamba,"Palo-Alto, Calamba",3500000.0,0,0,,104.0,14.1839549,121.1072903,House and Lot,0,"Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna"
62,"BIG DISCOUNT (up to 500k)! For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model",Imus,"Carsadang Bago I, Imus",5234791.0,3,2,75.0,112.0,14.4289186,120.928888,House and Lot,0,"PTC Suncrest in Imus, Cavite"
63,"Residential House and Lot near Ayala for Sale in San Antonio, Makati",Makati,"San Antonio, Makati",,12,8,500.0,1032.0,14.5621561,121.0086091,House and Lot,0,
64,"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Freya",Malolos,"Longos, Malolos",12069000.0,5,3,142.0,176.0,14.87426,120.7915336,House and Lot,2,Camella Provence
65,"2BR 2-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands",Dasmarinas,"Aguinaldo Highway San Agustin I, Dasmarinas",3267000.0,2,2,76.2,66.0,14.3214271,120.94188,Townhouse,2,Dasmariñas Highlands
66,"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ALICE Model",Imus,"Alapan Ii-A, Imus",2292960.0,3,1,40.0,40.0,14.4084522,120.8964956,Townhouse,0,Lancaster New City
67,"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Greta",Malolos,"Longos, Malolos",12902000.0,5,3,166.0,176.0,14.87426,120.7915336,House and Lot,2,Camella Provence
68,4-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | AMANDA Model,Pavia,"Ungka Ii, Pavia",6379520.0,4,3,100.0,120.0,10.7529006,122.5376029,House and Lot,0,Regency Residences
69,"Tierra Vista | Crissa 2BR House - Inner Unit for Sale in San Rafael, Bulacan | Futura by Filinvest",San Rafael,"San Rafael Estates San Roque, San Rafael",1979000.0,2,1,38.9,41.4,15.0126237,120.9341316,Other,0,Futura by Filinvest
70,1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Corner Unit (ROSE),Santa Maria,"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1,1,44.0,40.0,14.8279751,121.0003891,Other,2,Marytown Place in Santa Maria Bulacan
71,1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey End Unit (ROSE),Santa Maria,"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1,1,44.0,40.0,14.8279751,121.0003891,Other,2,Marytown Place in Santa Maria Bulacan
72,"3BR House and Lot for Sale in San Jose, Batangas at PHINMA Maayo San Jose | Salva Premier, 500K Discount Promo + Appliance Bundle!",San Jose,"President Jose P. Laurel Hwy Banaybanay Ii, San Jose",7400000.0,3,3,125.0,,13.9184235,121.1054948,House and Lot,0,PHINMA Maayo San Jose
73,"RFO 2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Angeli SF",Subic,"Aningway Sacatihan, Subic",2605000.0,2,1,42.0,54.0,14.9131781,120.2282421,House and Lot,2,Camella Subic
74,"4BR 2-Storey Single Attached House and Lot for Sale in Compostela, Cebu at Amoa | Asta Model",Compostela,"Tamiao, Compostela",7021000.0,4,2,82.0,120.0,10.4382884,123.9947249,House and Lot,2,Amoa
75,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Como Model",Mexico,"Km.71, North Luzon Expressway Panipuan, Mexico",2747500.0,3,2,78.5,154.0,15.0941848,120.6701583,Other,0,The Lakeshore
76,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",32184000.0,3,3,247.4,92.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
77,"4BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Dana w/ CB",Malolos,"Longos, Malolos",7798000.0,4,3,85.0,110.0,14.87426,120.7915336,House and Lot,2,Camella Provence
78,"Ready For You: 2BR 2-Storey SD House and Lot (Asha) for Sale in Compostela, Cebu at Amoa",Compostela,"Tamiao, Compostela",6130000.0,2,1,,,10.4382884,123.9947249,House and Lot,2,Amoa
79,"4-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | BRIANA Model",Kawit,"San Sebastian, Kawit",6756360.0,4,3,110.0,100.0,14.4129793,120.8886677,House and Lot,0,Lancaster New City
80,RUSH SALE - RFO Lipa Batangas Pag-ibig Financing 2 Bedroom Townhouse for sale,Lipa,"San Jose, Lipa",,2,2,48.0,50.0,13.937769,121.1860925,Townhouse,0,
81,"3-Bedroom 2-Storey House and Lot for Sale in Mabalacat, Pampanga at Talanai Homes | AGOHO",Mabalacat,"Sapang Biabas, Mabalacat",2706500.0,3,2,62.0,65.0,15.1987752,120.6026101,House and Lot,2,Talanai Homes
82,"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ANICA Model",Imus,"Alapan Ii-A, Imus",2389000.0,3,1,50.0,50.0,14.4084522,120.8964956,Townhouse,0,Lancaster New City
83,"Single Detached House for Sale near EVIA and MCX, Muntinlupa",Muntinlupa,"Victoria South Alabang Tunasan, Muntinlupa",13500000.0,3,2,140.0,240.0,14.3537827,121.0067911,Single Detached,1,
84,"4-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | ALEXANDRA Model",General Trias,"Pasong Camachile I, General Trias",7410000.0,4,3,100.0,120.0,14.3723207,120.8976745,House and Lot,0,Lancaster New City
85,[05422-T-259] House & Lot for sale in Northfields Executive Village at Malolos Bulacan,Malolos,"Lot 14 Block 26 J Abad Santos Street Northfields Executive Village Phase 1 Barangay Longos Malolos Bulacan Longos, Malolos",5900000.0,3,6,232.9,200.0,14.8843498,120.8014272,House and Lot,0,Executive Village at Malolos Bulacan
86,"3BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga",Mexico,"Eden, Mexico",4113000.0,3,2,72.0,88.0,15.1262529,120.6580131,House and Lot,0,Ajoya Pampanga
87,"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",31706000.0,3,3,247.4,92.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
88,1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Inner Unit (ROSE),Santa Maria,"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1,1,44.0,40.0,14.8279751,121.0003891,Other,2,Marytown Place in Santa Maria Bulacan
89,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",28804000.0,3,3,219.3,91.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
90,"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | GABRIELLE Model",Imus,"Alapan Ii-A, Imus",6650000.0,3,2,84.0,120.0,14.4084522,120.8964956,House and Lot,0,Lancaster New City
91,"Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave",San Rafael,"Caingin, San Rafael",1800000.0,2,1,46.0,41.0,14.9717467,120.9434431,Townhouse,0,Primeworld Enclave
92,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",28678000.0,3,3,219.3,91.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
93,"2-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Imperial Model",Mexico,"Km.71, North Luzon Expressway Panipuan, Mexico",1837500.0,2,2,52.5,154.0,15.0941848,120.6701583,Other,0,The Lakeshore
94,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)",Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa",27676000.0,3,3,219.3,91.0,14.4270005,121.0452782,Townhouse,3,"Likha Residences, Muntinlupa"
95,"2BR Townhouse for Sale in Lipa, Batangas | The Villages at Lipa - Brook Village, TH53",Lipa,"Bugtong Na Pulo, Lipa",4000000.0,2,1,53.0,52.0,13.9984308,121.1674592,Townhouse,0,"The Villages at Lipa - Brook Village, TH53"
96,"Ready For You: 1BR SA House and Lot (Ananda) for Sale in Compostela, Cebu at Amoa at Php 90,416 monthly amortization",Compostela,"Tamiao, Compostela",5580000.0,1,1,,,10.4382884,123.9947249,House and Lot,0,"Amoa at Php 90,416 monthly amortization"
97,"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | THEA Model",Imus,"Alapan Ii-A, Imus",2632250.0,3,2,60.0,50.0,14.4084522,120.8964956,Townhouse,0,Lancaster New City
98,"4-Bedroom House and Lot for Sale in Pavia, Iloilo at Parc Regency Residences | OLIVE Model",Pavia,"Ungka Ii, Pavia",5337920.0,4,2,80.0,120.0,10.7529006,122.5376029,House and Lot,0,Regency Residences
99,"3-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ALICE Model",Kawit,"San Sebastian, Kawit",2292960.0,3,1,40.0,40.0,14.4129793,120.8886677,Townhouse,0,Lancaster New City
100,"3BR 2-Storey Single Attached House and Lot for Sale in Tanza, Cavite | Las Brisas at Tierra del Sol",Tanza,"Governor'S Dr. Tanauan, Tanza",4337472.0,3,2,112.5,72.0,14.2914142,120.8302984,House and Lot,2,Tierra del Sol
101,"For Sale 3BR 2-Storey Single Attached House and Lot in Tanza, Cavite | Las Brisas at Tierra del Sol",Tanza,"Governor'S Dr. Tanauan, Tanza",4337472.0,3,2,112.5,72.0,14.2914142,120.8302984,House and Lot,2,Tierra del Sol
102,"2BR 2-Storey Townhouse for Sale in Brgy. Caypombo, Santa Maria, Bulacan at Las Palmas",Santa Maria,"Cay Pombo, Santa Maria",2178000.0,2,1,44.0,36.0,14.85169485,120.9793768,Townhouse,2,Las Palmas
103,"2BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Adlaw Model",Davao,"Tugbok, Davao",3600000.0,2,2,48.3,50.0,7.1035383,125.4948467,Townhouse,2,PHINMA Maayo Tugbok
104,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical Corner Unit w/ Fence",Tanza,"Antero Soriano Highway Sahud Ulan, Tanza",2839149.0,3,1,45.0,62.0,14.366749,120.8184475,Townhouse,0,Micara Estates
105,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | THEA Model",General Trias,"Pasong Camachile I, General Trias",2632250.0,3,2,60.0,50.0,14.3723207,120.8976745,Townhouse,0,Lancaster New City
106,"2BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Imperial",Mexico,"San Rafael, Mexico",1837500.0,2,2,52.5,,15.0874959,120.6742393,House and Lot,0,"The Lakeshore, Imperial"
107,"4-Bedroom Townhouse for Sale in Kawit, Cavite at Lancaster New City | ADELLE Model",Kawit,"San Sebastian, Kawit",3336800.0,4,2,70.0,60.0,14.4129793,120.8886677,Townhouse,0,Lancaster New City
108,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Hyde Model",Mexico,"Km.71, North Luzon Expressway Panipuan, Mexico",2705850.0,3,2,77.3,154.0,15.0941848,120.6701583,Other,0,The Lakeshore
109,"For Sale 2-Bedroom 2-Storey Townhouse in Mabalacat, Pampanga at Talanai Homes | MAHOGANY",Mabalacat,"Sapang Biabas, Mabalacat",1400000.0,2,1,40.0,40.0,15.1987752,120.6026101,Townhouse,2,Talanai Homes
110,02376 Brand New Ponte Verde House for Sale in Davao City,Davao,"Buhangin, Davao",21500000.0,5,4,300.0,200.0,7.1469686,125.5940509,Other,0,
111,"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | AIRA Model",Imus,"Alapan Ii-A, Imus",5282600.0,3,2,80.0,92.0,14.4084522,120.8964956,House and Lot,0,Lancaster New City
112,"Ready For You: Townhouse for Sale in Capas, Tarlac at Ajoya Capas",Capas,"Talaga, Capas",2351000.0,0,2,49.0,50.0,15.38374425,120.5870832,Townhouse,0,Ajoya Capas
113,"Ready For You: 3BR SA House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Cabanatuan at Php 43,175 monthly amortization",Cabanatuan,"Valle Cruz, Cabanatuan",5381000.0,3,2,80.0,203.0,15.4799841,120.9920413,House and Lot,0,"Ajoya Cabanatuan at Php 43,175 monthly amortization"
